TimestepsSoFar,loss_pol_entpen,loss_kl,EpLenMean,ev_tdlam_before,EpThisIter,loss_vf_loss,loss_ent,EpRewMean,EpisodesSoFar,loss_pol_surr,TimeElapsed
17675,-0.0161424628459,0.00749025505502,930.263157895,0.00693494081497,1,0.117892177776,1.61424633861,-20.5263157895,19,-0.00873219873756,420.80665588378906
17675,-0.0156514905393,0.00841941870749,930.263157895,0.00175499916077,,0.156306702644,1.56514912844,-20.5263157895,19,-0.0156179713085,427.19621086120605
17675,-0.0161921274848,0.0105946182739,930.263157895,0.00130748748779,,0.0962282307446,1.61921274662,-20.5263157895,19,-0.0109842717648,433.3974208831787
18636,-0.0163925252855,0.00763841078151,931.8,0.00232517719269,1,0.127210512757,1.63925257325,-20.5,20,-0.0138574596494,439.38372683525085
18636,-0.0164407873526,0.0041401743656,931.8,-0.000276446342468,,0.175950970501,1.64407876134,-20.5,20,-0.011421514675,445.5432050228119
18636,-0.0158695355058,0.0208400292322,931.8,-6.40153884888e-05,,0.0839619394392,1.58695358038,-20.5,20,-0.0216833748855,451.7949528694153
18636,-0.0151295701507,0.0135217215866,931.8,0.00601452589035,,0.0857871584594,1.5129570365,-20.5,20,-0.0150343794376,458.05804204940796
19504,-0.0163060426712,0.0227168467827,928.761904762,-0.00273096561432,1,0.130998807028,1.63060429692,-20.4761904762,21,-0.0256888046861,464.0336449146271
19504,-0.0163203636184,0.00559555913787,928.761904762,-0.000446677207947,,0.0959745571017,1.63203638792,-20.4761904762,21,-0.00592528656125,470.40469884872437
19504,-0.0159587310627,0.0124592259526,928.761904762,0.00739252567291,,0.0814026873559,1.59587311745,-20.4761904762,21,-0.011015066877,476.65010595321655
20386,-0.015520893503,0.014301099116,926.636363636,0.00104469060898,1,0.163867283612,1.55208939314,-20.5,22,-0.014452601783,483.28769183158875
20386,-0.0152002598625,0.00423026457429,926.636363636,1.25169754028e-06,,0.0816432032734,1.52002602816,-20.5,22,-0.00759179983288,489.68214201927185
20386,-0.0152059320826,0.0201800726354,926.636363636,0.0029137134552,,0.0870125256479,1.52059325576,-20.5,22,-0.0167386010289,495.737370967865
21229,-0.0157346362248,0.00767897663172,923.0,-0.000227451324463,1,0.147358203307,1.57346364856,-20.5217391304,23,-0.00954890809953,502.3528130054474
21229,-0.0159552115947,0.00466196669731,923.0,-0.00168216228485,,0.161538120359,1.59552121162,-20.5217391304,23,-0.00676325522363,508.264554977417
21229,-0.0157718923874,0.00891044363379,923.0,-0.003084897995,,0.0822045188397,1.57718929648,-20.5217391304,23,-0.00900396378711,514.6625368595123
21229,-0.0155620295554,0.00776254897937,923.0,0.000885665416718,,0.0903614778072,1.5562030077,-20.5217391304,23,-0.00799400825053,521.0600428581238
22122,-0.0157424490899,0.000858131388668,921.75,-0.00287711620331,1,0.148264978081,1.57424497604,-20.5,24,-0.00133714079857,527.6730489730835
22122,-0.0159325879067,0.00483700633049,921.75,9.00030136108e-06,,0.0875685680658,1.59325885773,-20.5,24,-0.011597469449,534.0982029438019
22122,-0.015901084058,0.0186875504442,921.75,-0.00696468353271,,0.0869341287762,1.59010839462,-20.5,24,-0.0158414850011,540.3686728477478
22880,-0.0160190230235,0.0141887660138,915.2,0.000905990600586,1,0.149807054549,1.60190239549,-20.52,25,-0.0222014449537,546.9368119239807
22880,-0.0156193634029,0.0114265349694,915.2,0.00577312707901,,0.0861135944724,1.56193637848,-20.52,25,-0.00741534680128,553.1764168739319
22880,-0.0152773640584,0.00551167305093,915.2,0.00211673974991,,0.0813609752804,1.5277364254,-20.52,25,-0.0129602998495,559.4648900032043
23698,-0.0156839303672,0.0123824463226,911.461538462,-0.00110673904419,1,0.153504826128,1.56839308143,-20.5384615385,26,-0.0121511225589,566.2515609264374
23698,-0.0151769674849,0.00872775446624,911.461538462,-0.00539183616638,,0.0896718204021,1.51769676805,-20.5384615385,26,-0.0129543351941,572.844141960144
23698,-0.0151718559209,0.00990336644463,911.461538462,-0.00789248943329,,0.092342576012,1.51718562841,-20.5384615385,26,-0.0139206536114,579.5201189517975
24530,-0.014871200081,0.00264020316536,908.518518519,-0.00023365020752,1,0.162526614964,1.48712003231,-20.5555555556,27,-0.0054615996778,586.0865938663483
24530,-0.0144038340077,0.00480455486104,908.518518519,-0.00138092041016,,0.101545786485,1.4403834343,-20.5555555556,27,-0.00593814440072,592.5999639034271
24530,-0.0152030622121,0.00970239541493,908.518518519,-0.00119304656982,,0.157143134624,1.52030625939,-20.5555555556,27,-0.0147185316309,598.6771080493927
24530,-0.015647853259,0.00702431751415,908.518518519,-0.00205290317535,,0.103412644938,1.56478539109,-20.5555555556,27,-0.00423627533019,604.9736590385437
25514,-0.016387719661,0.0128759676591,911.214285714,0.000472784042358,1,0.12849406153,1.63877204061,-20.5357142857,28,-0.0176348034292,610.9355809688568
